Gene	AveExpr	logFC	P.Value	adj.P.Val	Sig	GeneType
ENSG00000258092	AC005841.1	0.22	-0.11	0.00544	0.0124	FALSE	lncRNA
ENSG00000272086	AC025181.2	1.22	0.3	0.00544	0.0124	FALSE	lncRNA
ENSG00000235257	ITGA9-AS1	1.7	0.45	0.00545	0.0124	FALSE	lncRNA
ENSG00000105374	NKG7	6.61	-0.83	0.00545	0.0124	TRUE	protein_coding
ENSG00000260816	AC027279.1	0.71	-0.31	0.00546	0.0124	FALSE	lncRNA
ENSG00000104549	SQLE	3.26	0.65	0.00546	0.0124	TRUE	protein_coding
ENSG00000253307	AC011676.1	1.14	0.39	0.00547	0.0124	FALSE	lncRNA
ENSG00000163904	SENP2	5.22	0.25	0.00548	0.0124	FALSE	protein_coding
ENSG00000180221	TPT1P10	1.81	0.49	0.00548	0.0124	FALSE	processed_pseudogene
ENSG00000278757	FO681485.1	0.97	0.9	0.00548	0.0124	TRUE	snRNA
ENSG00000236345	SCAT8	2.53	0.55	0.00548	0.0124	FALSE	lncRNA
ENSG00000011426	ANLN	2.91	0.65	0.00548	0.0124	TRUE	protein_coding
ENSG00000180448	ARHGAP45	9.86	0.36	0.00549	0.0124	FALSE	protein_coding
ENSG00000227359	AC017074.1	0.65	0.28	0.00549	0.0124	FALSE	lncRNA
ENSG00000051596	THOC3	2.94	-0.47	0.00549	0.0124	FALSE	protein_coding
ENSG00000145337	PYURF	4.09	-0.47	0.00549	0.0124	FALSE	protein_coding
ENSG00000154864	PIEZO2	0.22	0.3	0.00549	0.0125	FALSE	protein_coding
ENSG00000086061	DNAJA1	6.21	0.49	0.00549	0.0125	FALSE	protein_coding
ENSG00000232268	OR52I1	0.1	0.14	0.0055	0.0125	FALSE	protein_coding
ENSG00000251023	AC114980.1	1.91	0.43	0.0055	0.0125	FALSE	lncRNA
ENSG00000287067	AC106791.3	0.5	-0.19	0.0055	0.0125	FALSE	transcribed_processed_pseudogene
ENSG00000226498	RPSAP21	0.65	-0.28	0.00551	0.0125	FALSE	processed_pseudogene
ENSG00000166086	JAM3	5.05	0.95	0.00551	0.0125	TRUE	protein_coding
ENSG00000173137	ADCK5	2.82	-0.41	0.00551	0.0125	FALSE	protein_coding
ENSG00000149932	TMEM219	4.92	0.29	0.00551	0.0125	FALSE	protein_coding
ENSG00000189229	AC069277.1	0.18	-0.26	0.00552	0.0125	FALSE	lncRNA
ENSG00000067601	PMS2P4	1.31	-0.26	0.00552	0.0125	FALSE	transcribed_unprocessed_pseudogene
ENSG00000099284	MACROH2A2	1.29	-0.36	0.00553	0.0125	FALSE	protein_coding
ENSG00000275109	MIR6504	0.41	0.2	0.00553	0.0125	FALSE	miRNA
ENSG00000135439	AGAP2	6.99	0.35	0.00554	0.0125	FALSE	protein_coding
ENSG00000225643	AL606491.1	0.4	-0.19	0.00554	0.0125	FALSE	lncRNA
ENSG00000188959	C9orf152	0.31	0.3	0.00555	0.0126	FALSE	protein_coding
ENSG00000236790	LINC00299	3.57	-0.69	0.00555	0.0126	TRUE	lncRNA
ENSG00000232536	AL365436.2	0.42	0.25	0.00555	0.0126	FALSE	lncRNA
ENSG00000253878	AC087752.3	1.01	0.32	0.00556	0.0126	FALSE	lncRNA
ENSG00000132879	FBXO44	3.58	-0.37	0.00556	0.0126	FALSE	protein_coding
ENSG00000109047	RCVRN	0.74	0.53	0.00556	0.0126	FALSE	protein_coding
ENSG00000273855	AC020658.5	1.84	0.44	0.00558	0.0126	FALSE	lncRNA
ENSG00000184828	ZBTB7C	0.19	-0.2	0.00558	0.0126	FALSE	protein_coding
ENSG00000221957	KIR2DS4	1.14	-0.83	0.00559	0.0126	TRUE	polymorphic_pseudogene
ENSG00000172939	OXSR1	6.4	0.3	0.0056	0.0127	FALSE	protein_coding
ENSG00000181322	NME9	0.22	0.14	0.00561	0.0127	FALSE	protein_coding
ENSG00000186399	GOLGA8R	1.13	-0.38	0.00562	0.0127	FALSE	protein_coding
ENSG00000011009	LYPLA2	5.67	0.24	0.00562	0.0127	FALSE	protein_coding
ENSG00000211890	IGHA2	5.47	1.47	0.00562	0.0127	TRUE	IG_C_gene
ENSG00000121064	SCPEP1	6.56	0.54	0.00562	0.0127	FALSE	protein_coding
ENSG00000115423	DNAH6	0.92	-0.39	0.00562	0.0127	FALSE	protein_coding
ENSG00000065559	MAP2K4	5.78	0.35	0.00563	0.0127	FALSE	protein_coding
ENSG00000111790	FGFR1OP2	6.34	-0.4	0.00563	0.0127	FALSE	protein_coding
ENSG00000108515	ENO3	2.67	-0.28	0.00564	0.0127	FALSE	protein_coding
ENSG00000279019	AC009090.4	0.47	0.27	0.00564	0.0127	FALSE	TEC
ENSG00000187950	OVCH1	0.47	0.42	0.00564	0.0127	FALSE	protein_coding
ENSG00000106868	SUSD1	5.82	0.33	0.00565	0.0127	FALSE	protein_coding
ENSG00000154144	TBRG1	5.6	-0.16	0.00565	0.0128	FALSE	protein_coding
ENSG00000196366	C9orf163	0.23	-0.15	0.00565	0.0128	FALSE	lncRNA
ENSG00000284015	MIR1281	0.54	0.37	0.00565	0.0128	FALSE	miRNA
ENSG00000131263	RLIM	6.88	0.36	0.00566	0.0128	FALSE	protein_coding
ENSG00000101210	EEF1A2	0.21	-0.14	0.00566	0.0128	FALSE	protein_coding
ENSG00000273014	AC018645.3	0.23	0.15	0.00566	0.0128	FALSE	lncRNA
ENSG00000172590	MRPL52	3.42	-0.29	0.00566	0.0128	FALSE	protein_coding
ENSG00000267575	AC006504.5	3.55	-0.35	0.00567	0.0128	FALSE	lncRNA
ENSG00000105968	H2AZ2	6.32	-0.31	0.00567	0.0128	FALSE	protein_coding
ENSG00000279631	AL158211.5	1.31	-0.28	0.00568	0.0128	FALSE	TEC
ENSG00000100522	GNPNAT1	2.56	-0.5	0.00569	0.0128	FALSE	protein_coding
ENSG00000106404	CLDN15	4.34	0.35	0.00569	0.0128	FALSE	protein_coding
ENSG00000272688	AP005329.3	1.94	0.31	0.00569	0.0128	FALSE	lncRNA
ENSG00000173276	ZBTB21	4.16	-0.31	0.00569	0.0128	FALSE	protein_coding
ENSG00000003393	ALS2	4.21	-0.27	0.00569	0.0128	FALSE	protein_coding
ENSG00000198796	ALPK2	0.35	-0.39	0.00569	0.0128	FALSE	protein_coding
ENSG00000205795	CYS1	0.22	0.24	0.00569	0.0128	FALSE	protein_coding
ENSG00000146540	C7orf50	4.23	-0.49	0.00569	0.0128	FALSE	protein_coding
ENSG00000103942	HOMER2	2.8	0.54	0.00569	0.0128	FALSE	protein_coding
ENSG00000103260	METRN	1.42	-0.35	0.0057	0.0128	FALSE	protein_coding
ENSG00000259119	AL132796.2	0.59	0.4	0.0057	0.0128	FALSE	lncRNA
ENSG00000161973	CCDC42	0.11	-0.1	0.0057	0.0128	FALSE	protein_coding
ENSG00000180353	HCLS1	9	0.39	0.0057	0.0128	FALSE	protein_coding
ENSG00000207042	RNU6-196P	0.57	0.34	0.0057	0.0128	FALSE	snRNA
ENSG00000169609	C15orf40	3.96	-0.24	0.00571	0.0129	FALSE	protein_coding
ENSG00000102858	MGRN1	7.7	0.46	0.00571	0.0129	FALSE	protein_coding
ENSG00000196843	ARID5A	6.61	0.57	0.00572	0.0129	FALSE	protein_coding
ENSG00000104783	KCNN4	3.84	-0.53	0.00573	0.0129	FALSE	protein_coding
ENSG00000157111	TMEM171	0.25	-0.19	0.00573	0.0129	FALSE	protein_coding
ENSG00000205544	TMEM256	2.03	-0.38	0.00573	0.0129	FALSE	protein_coding
ENSG00000104722	NEFM	0.16	-0.12	0.00573	0.0129	FALSE	protein_coding
ENSG00000122367	LDB3	0.18	-0.24	0.00574	0.0129	FALSE	protein_coding
ENSG00000284715	AP001153.1	0.38	0.39	0.00574	0.0129	FALSE	unprocessed_pseudogene
ENSG00000259803	SLC22A31	0.76	0.48	0.00575	0.0129	FALSE	protein_coding
ENSG00000186862	PDZD7	0.54	-0.22	0.00575	0.0129	FALSE	protein_coding
ENSG00000197860	SGTB	5.73	0.4	0.00575	0.0129	FALSE	protein_coding
ENSG00000185986	SDHAP3	2.62	-0.48	0.00575	0.0129	FALSE	transcribed_unprocessed_pseudogene
ENSG00000257167	TMPO-AS1	1.74	0.31	0.00576	0.0129	FALSE	lncRNA
ENSG00000121898	CPXM2	0.43	0.39	0.00576	0.013	FALSE	protein_coding
ENSG00000280587	LINC01348	0.35	0.27	0.00576	0.013	FALSE	lncRNA
ENSG00000264966	MIR5094	0.5	0.23	0.00576	0.013	FALSE	miRNA
ENSG00000161132	AC007663.1	0.13	-0.14	0.00576	0.013	FALSE	unprocessed_pseudogene
ENSG00000265713	AC023389.3	1.11	0.38	0.00577	0.013	FALSE	transcribed_processed_pseudogene
ENSG00000136770	DNAJC1	4.11	0.44	0.00577	0.013	FALSE	protein_coding
ENSG00000181904	C5orf24	4.09	-0.29	0.00577	0.013	FALSE	protein_coding
ENSG00000254965	C1DP5	0.44	-0.21	0.00577	0.013	FALSE	processed_pseudogene
ENSG00000186453	FAM228A	0.75	0.43	0.00578	0.013	FALSE	protein_coding
ENSG00000220785	MTMR9LP	0.46	-0.25	0.00579	0.013	FALSE	transcribed_unprocessed_pseudogene
ENSG00000169696	ASPSCR1	4.25	-0.42	0.00579	0.013	FALSE	protein_coding
ENSG00000100804	PSMB5	3.74	0.3	0.00579	0.013	FALSE	protein_coding
ENSG00000207208	RNU6-790P	0.48	0.22	0.0058	0.013	FALSE	snRNA
ENSG00000140525	FANCI	3.81	0.55	0.0058	0.013	FALSE	protein_coding
ENSG00000049167	ERCC8	2.41	-0.37	0.00581	0.013	FALSE	protein_coding
ENSG00000269266	DNAJC19P2	0.14	0.14	0.00582	0.0131	FALSE	processed_pseudogene
ENSG00000124713	GNMT	1.82	0.56	0.00582	0.0131	FALSE	protein_coding
ENSG00000266072	MIR5693	0.19	0.14	0.00582	0.0131	FALSE	miRNA
ENSG00000011454	RABGAP1	5.56	0.19	0.00583	0.0131	FALSE	protein_coding
ENSG00000114209	PDCD10	5.54	-0.4	0.00584	0.0131	FALSE	protein_coding
ENSG00000181523	SGSH	6.23	0.59	0.00585	0.0131	TRUE	protein_coding
ENSG00000189319	FAM53B	6.83	-0.37	0.00585	0.0131	FALSE	protein_coding
ENSG00000244219	TMEM225B	0.24	-0.12	0.00585	0.0131	FALSE	protein_coding
ENSG00000180902	D2HGDH	4.47	-0.49	0.00586	0.0132	FALSE	protein_coding
ENSG00000167535	CACNB3	1.71	-0.39	0.00586	0.0132	FALSE	protein_coding
ENSG00000115414	FN1	1.13	0.79	0.00586	0.0132	TRUE	protein_coding
ENSG00000287643	AC004825.3	0.17	0.11	0.00588	0.0132	FALSE	lncRNA
ENSG00000231652	AL590428.1	0.5	0.32	0.00588	0.0132	FALSE	lncRNA
ENSG00000265185	SNORD3B-1	0.37	0.38	0.00588	0.0132	FALSE	snoRNA
ENSG00000213793	ZNF888	2.71	-0.36	0.00588	0.0132	FALSE	protein_coding
ENSG00000169118	CSNK1G1	5.22	0.23	0.00588	0.0132	FALSE	protein_coding
ENSG00000285498	AC104389.7	0.14	-0.17	0.00588	0.0132	FALSE	TEC
ENSG00000182379	NXPH4	0.23	-0.18	0.00589	0.0132	FALSE	protein_coding
ENSG00000260105	AOC4P	0.66	0.49	0.00589	0.0132	FALSE	transcribed_unprocessed_pseudogene
ENSG00000182230	FAM153B	0.6	-0.32	0.00589	0.0132	FALSE	protein_coding
ENSG00000211647	IGLV5-48	0.14	0.17	0.0059	0.0132	FALSE	IG_V_gene
ENSG00000084070	SMAP2	9.42	0.59	0.0059	0.0132	TRUE	protein_coding
ENSG00000231205	ZNF826P	0.74	-0.29	0.0059	0.0132	FALSE	transcribed_unprocessed_pseudogene
ENSG00000212534	SNORD70	0.27	-0.14	0.00591	0.0132	FALSE	snoRNA
ENSG00000237499	WAKMAR2	2.12	-0.47	0.00591	0.0132	FALSE	lncRNA
ENSG00000080608	PUM3	3.43	-0.46	0.00591	0.0132	FALSE	protein_coding
ENSG00000105255	FSD1	1	-0.4	0.00591	0.0133	FALSE	protein_coding
ENSG00000188177	ZC3H6	5.14	-0.31	0.00592	0.0133	FALSE	protein_coding
ENSG00000134245	WNT2B	0.4	-0.18	0.00592	0.0133	FALSE	protein_coding
ENSG00000271303	SRXN1	3.07	0.76	0.00592	0.0133	TRUE	protein_coding
ENSG00000272733	AP000345.2	0.43	0.23	0.00593	0.0133	FALSE	lncRNA
ENSG00000160072	ATAD3B	4.15	-0.41	0.00593	0.0133	FALSE	protein_coding
ENSG00000154930	ACSS1	5.46	-0.41	0.00594	0.0133	FALSE	protein_coding
ENSG00000161011	SQSTM1	7.98	0.36	0.00594	0.0133	FALSE	protein_coding
ENSG00000249129	SUDS3P1	0.84	-0.19	0.00595	0.0133	FALSE	processed_pseudogene
ENSG00000183018	SPNS2	1.85	0.55	0.00595	0.0133	FALSE	protein_coding
ENSG00000105464	GRIN2D	0.97	0.35	0.00595	0.0133	FALSE	protein_coding
ENSG00000204103	MAFB	6.05	0.55	0.00595	0.0133	FALSE	protein_coding
ENSG00000111860	CEP85L	5.49	-0.36	0.00596	0.0133	FALSE	protein_coding
ENSG00000101162	TUBB1	8.94	0.76	0.00597	0.0134	TRUE	protein_coding
ENSG00000269982	AC018809.2	0.5	-0.24	0.00597	0.0134	FALSE	lncRNA
ENSG00000283891	MIR628	0.32	0.2	0.00598	0.0134	FALSE	miRNA
ENSG00000097096	SYDE2	1.3	-0.45	0.00598	0.0134	FALSE	protein_coding
ENSG00000125814	NAPB	3.86	0.29	0.00598	0.0134	FALSE	protein_coding
ENSG00000274615	AC233968.1	0.51	0.21	0.00599	0.0134	FALSE	unprocessed_pseudogene
ENSG00000171847	FAM90A1	0.81	0.43	0.00599	0.0134	FALSE	protein_coding
ENSG00000184792	OSBP2	6.19	-1.27	0.00601	0.0134	TRUE	protein_coding
ENSG00000170310	STX8	3.36	-0.22	0.00602	0.0135	FALSE	protein_coding
ENSG00000178732	GP5	3.69	0.78	0.00602	0.0135	TRUE	protein_coding
ENSG00000124587	PEX6	5.13	0.39	0.00603	0.0135	FALSE	protein_coding
ENSG00000167642	SPINT2	5.59	0.49	0.00603	0.0135	FALSE	protein_coding
ENSG00000228889	UBAC2-AS1	0.88	-0.23	0.00603	0.0135	FALSE	lncRNA
ENSG00000151657	KIN	4.31	0.27	0.00603	0.0135	FALSE	protein_coding
ENSG00000105610	KLF1	3.93	-1.2	0.00604	0.0135	TRUE	protein_coding
ENSG00000168374	ARF4	5.56	0.32	0.00604	0.0135	FALSE	protein_coding
ENSG00000166819	PLIN1	0.26	-0.15	0.00605	0.0135	FALSE	protein_coding
ENSG00000258499	LINC02287	0.32	0.29	0.00606	0.0135	FALSE	lncRNA
ENSG00000147166	ITGB1BP2	1.12	0.25	0.00606	0.0135	FALSE	protein_coding
ENSG00000124549	BTN2A3P	2.19	0.46	0.00606	0.0135	FALSE	transcribed_unprocessed_pseudogene
ENSG00000011201	ANOS1	0.87	0.54	0.00607	0.0136	FALSE	protein_coding
ENSG00000183578	TNFAIP8L3	0.82	0.72	0.00607	0.0136	TRUE	protein_coding
ENSG00000114854	TNNC1	0.2	-0.14	0.00608	0.0136	FALSE	protein_coding
ENSG00000172382	PRSS27	1.15	0.41	0.00608	0.0136	FALSE	protein_coding
ENSG00000152492	CCDC50	4.05	-0.58	0.00608	0.0136	FALSE	protein_coding
ENSG00000183044	ABAT	5.49	0.48	0.00609	0.0136	FALSE	protein_coding
ENSG00000270264	NDUFB8P2	0.56	0.42	0.00609	0.0136	FALSE	processed_pseudogene
ENSG00000185305	ARL15	4.29	0.47	0.0061	0.0136	FALSE	protein_coding
ENSG00000281358	RASSF1-AS1	1.39	0.32	0.0061	0.0136	FALSE	lncRNA
ENSG00000236209	AC104135.1	0.29	-0.3	0.0061	0.0136	FALSE	lncRNA
ENSG00000125249	RAP2A	5.08	-0.4	0.00611	0.0136	FALSE	protein_coding
ENSG00000161642	ZNF385A	5.27	-0.61	0.00611	0.0136	TRUE	protein_coding
ENSG00000153207	AHCTF1	7.38	0.36	0.00611	0.0136	FALSE	protein_coding
ENSG00000233170	AC138356.2	0.14	-0.1	0.00611	0.0136	FALSE	processed_pseudogene
ENSG00000071794	HLTF	3.64	-0.5	0.00612	0.0137	FALSE	protein_coding
ENSG00000247626	MARS2	2.81	-0.45	0.00613	0.0137	FALSE	protein_coding
ENSG00000287262	AC021148.3	0.68	0.27	0.00613	0.0137	FALSE	lncRNA
ENSG00000110446	SLC15A3	6.42	0.45	0.00613	0.0137	FALSE	protein_coding
ENSG00000204438	GPANK1	4.42	0.22	0.00613	0.0137	FALSE	protein_coding
ENSG00000105472	CLEC11A	2.05	0.7	0.00615	0.0137	TRUE	protein_coding
ENSG00000140416	TPM1	5.01	0.63	0.00616	0.0137	TRUE	protein_coding
ENSG00000204282	TNRC6C-AS1	5.01	-0.38	0.00619	0.0138	FALSE	lncRNA
ENSG00000258777	HIF1A-AS1	0.22	0.16	0.0062	0.0138	FALSE	lncRNA
ENSG00000278535	DHRS11	1.26	-0.26	0.0062	0.0138	FALSE	protein_coding
ENSG00000142233	NTN5	0.52	-0.28	0.0062	0.0138	FALSE	protein_coding
ENSG00000185090	MANEAL	1.07	-0.34	0.00621	0.0138	FALSE	protein_coding
ENSG00000265527	MIR5690	0.45	0.36	0.00621	0.0138	FALSE	miRNA
ENSG00000133612	AGAP3	4.68	-0.53	0.00622	0.0138	FALSE	protein_coding
ENSG00000259869	AL022344.1	1.5	0.59	0.00622	0.0138	TRUE	lncRNA
ENSG00000163374	YY1AP1	6.81	-0.32	0.00623	0.0139	FALSE	protein_coding
ENSG00000164978	NUDT2	2.62	-0.27	0.00623	0.0139	FALSE	protein_coding
ENSG00000136273	HUS1	4.04	-0.27	0.00623	0.0139	FALSE	protein_coding
ENSG00000145723	GIN1	2.73	-0.33	0.00623	0.0139	FALSE	protein_coding
ENSG00000288025	AC093849.4	1.92	0.72	0.00623	0.0139	TRUE	lncRNA
ENSG00000221988	PPT2	1.32	-0.33	0.00623	0.0139	FALSE	protein_coding
ENSG00000116157	GPX7	2.37	-0.46	0.00623	0.0139	FALSE	protein_coding
ENSG00000237181	PRKAR1B-AS1	2.31	0.57	0.00624	0.0139	FALSE	lncRNA
ENSG00000274265	AC245297.4	3.63	0.43	0.00624	0.0139	FALSE	lncRNA
ENSG00000116032	GRIN3B	0.81	0.35	0.00625	0.0139	FALSE	protein_coding
ENSG00000263603	AC127024.2	0.24	-0.18	0.00625	0.0139	FALSE	lncRNA
ENSG00000255521	AL356215.1	0.25	-0.14	0.00625	0.0139	FALSE	lncRNA
ENSG00000173141	MRPL57	3.03	-0.4	0.00626	0.0139	FALSE	protein_coding
ENSG00000233922	LINC01694	0.48	0.28	0.00626	0.0139	FALSE	lncRNA
ENSG00000137500	CCDC90B	4.09	-0.32	0.00626	0.0139	FALSE	protein_coding
ENSG00000176809	LRRC37A3	3.34	0.54	0.00627	0.0139	FALSE	protein_coding
ENSG00000174721	FGFBP3	0.8	-0.28	0.00627	0.014	FALSE	protein_coding
ENSG00000221882	OR3A2	0.31	-0.27	0.00628	0.014	FALSE	protein_coding
ENSG00000002745	WNT16	0.6	-0.43	0.00628	0.014	FALSE	protein_coding
ENSG00000177951	BET1L	5.74	-0.31	0.00628	0.014	FALSE	protein_coding
ENSG00000114626	ABTB1	9.47	0.57	0.00629	0.014	FALSE	protein_coding
ENSG00000111142	METAP2	3.85	-0.51	0.0063	0.014	FALSE	protein_coding
ENSG00000224281	SLC25A5-AS1	0.69	-0.17	0.0063	0.014	FALSE	lncRNA
ENSG00000185745	IFIT1	5.84	2.09	0.00631	0.014	TRUE	protein_coding
ENSG00000005379	TSPOAP1	5.18	-0.59	0.00631	0.014	TRUE	protein_coding
ENSG00000211664	IGLV2-18	0.46	0.48	0.00633	0.0141	FALSE	IG_V_gene
ENSG00000106392	C1GALT1	5.89	0.48	0.00634	0.0141	FALSE	protein_coding
ENSG00000163357	DCST1	0.64	0.45	0.00635	0.0141	FALSE	protein_coding
ENSG00000206732	RNU6-936P	0.72	0.28	0.00635	0.0141	FALSE	snRNA
ENSG00000240291	AL450384.2	1.22	-0.29	0.00635	0.0141	FALSE	lncRNA
ENSG00000136295	TTYH3	7.08	0.44	0.00636	0.0141	FALSE	protein_coding
ENSG00000131848	ZSCAN5A	1.94	-0.31	0.00636	0.0141	FALSE	protein_coding
ENSG00000278983	AC048380.2	0.87	0.3	0.00636	0.0141	FALSE	TEC
ENSG00000253982	AC100810.1	3.98	-0.75	0.00636	0.0141	TRUE	lncRNA
ENSG00000260648	AC020658.3	0.1	0.12	0.00637	0.0141	FALSE	lncRNA
ENSG00000286786	AC116158.3	1.5	-0.32	0.00637	0.0141	FALSE	lncRNA
ENSG00000136261	BZW2	3.44	-0.41	0.00637	0.0141	FALSE	protein_coding
ENSG00000236296	GUSBP5	0.12	-0.11	0.00637	0.0141	FALSE	transcribed_processed_pseudogene
ENSG00000152784	PRDM8	4.08	0.56	0.00637	0.0141	FALSE	protein_coding
ENSG00000276699	TRAJ36	0.56	-0.26	0.00638	0.0141	FALSE	TR_J_gene
ENSG00000261582	AL121753.1	1.25	0.25	0.00638	0.0142	FALSE	protein_coding
ENSG00000269997	AC068790.3	0.92	-0.3	0.00638	0.0142	FALSE	lncRNA
ENSG00000002330	BAD	4.02	0.3	0.00638	0.0142	FALSE	protein_coding
ENSG00000115839	RAB3GAP1	5.71	0.26	0.0064	0.0142	FALSE	protein_coding
ENSG00000138735	PDE5A	5.68	0.71	0.0064	0.0142	TRUE	protein_coding
ENSG00000238058	AL355574.1	1.05	-0.24	0.0064	0.0142	FALSE	lncRNA
ENSG00000176697	BDNF	0.15	0.14	0.00642	0.0142	FALSE	protein_coding
ENSG00000132467	UTP3	3.64	-0.4	0.00642	0.0142	FALSE	protein_coding
ENSG00000092200	RPGRIP1	2.39	-0.65	0.00642	0.0142	TRUE	protein_coding
ENSG00000234072	AC074117.1	1.99	-0.3	0.00643	0.0143	FALSE	lncRNA
ENSG00000161091	MFSD12	5.28	-0.41	0.00643	0.0143	FALSE	protein_coding
ENSG00000241837	ATP5PO	3.75	-0.29	0.00644	0.0143	FALSE	protein_coding
ENSG00000010292	NCAPD2	6.34	0.33	0.00644	0.0143	FALSE	protein_coding
ENSG00000129911	KLF16	5.5	0.33	0.00645	0.0143	FALSE	protein_coding
ENSG00000275126	H4C13	2.03	0.63	0.00645	0.0143	TRUE	protein_coding
ENSG00000273302	AC016747.3	0.32	0.17	0.00646	0.0143	FALSE	lncRNA
ENSG00000259483	AL355073.1	0.56	-0.32	0.00646	0.0143	FALSE	lncRNA
ENSG00000264773	MIR4420	1.43	0.37	0.00648	0.0143	FALSE	miRNA
ENSG00000234816	H2AC5P	0.23	0.18	0.00648	0.0143	FALSE	unprocessed_pseudogene
ENSG00000160208	RRP1B	5.08	-0.54	0.00649	0.0144	FALSE	protein_coding
ENSG00000204590	GNL1	4.56	-0.32	0.00649	0.0144	FALSE	protein_coding
ENSG00000255737	AGAP2-AS1	0.6	0.28	0.0065	0.0144	FALSE	lncRNA
ENSG00000100216	TOMM22	4.27	-0.43	0.0065	0.0144	FALSE	protein_coding
ENSG00000149489	ROM1	1.47	0.43	0.0065	0.0144	FALSE	protein_coding
ENSG00000135249	RINT1	3.58	-0.34	0.0065	0.0144	FALSE	protein_coding
ENSG00000273139	AC007663.3	0.76	-0.2	0.0065	0.0144	FALSE	lncRNA
ENSG00000104852	SNRNP70	7.11	-0.32	0.0065	0.0144	FALSE	protein_coding
ENSG00000182389	CACNB4	2.25	-0.65	0.00652	0.0144	TRUE	protein_coding
ENSG00000251576	LINC01267	0.38	0.3	0.00652	0.0144	FALSE	lncRNA
ENSG00000180611	MB21D2	1.34	-0.45	0.00652	0.0144	FALSE	protein_coding
ENSG00000275056	AC020663.3	1.62	0.28	0.00652	0.0144	FALSE	lncRNA
ENSG00000132646	PCNA	4.37	0.62	0.00653	0.0144	TRUE	protein_coding
ENSG00000106268	NUDT1	2.66	-0.37	0.00653	0.0145	FALSE	protein_coding
ENSG00000285679	AC079142.1	0.49	-0.19	0.00653	0.0145	FALSE	lncRNA
ENSG00000186047	DLEU7	1.46	-0.45	0.00653	0.0145	FALSE	protein_coding
ENSG00000165757	JCAD	0.95	0.4	0.00654	0.0145	FALSE	protein_coding
ENSG00000130962	PRRG1	0.53	0.29	0.00655	0.0145	FALSE	protein_coding
ENSG00000146918	NCAPG2	3.53	0.58	0.00655	0.0145	FALSE	protein_coding
ENSG00000256152	AC027290.2	0.45	-0.18	0.00655	0.0145	FALSE	lncRNA
ENSG00000169291	SHE	0.59	0.48	0.00656	0.0145	FALSE	protein_coding
ENSG00000171962	DRC3	0.31	-0.24	0.00657	0.0145	FALSE	protein_coding
ENSG00000131148	EMC8	3.75	0.2	0.00657	0.0145	FALSE	protein_coding
ENSG00000077713	SLC25A43	2.49	-0.37	0.00657	0.0145	FALSE	protein_coding
ENSG00000175985	PLEKHD1	0.57	-0.31	0.00657	0.0145	FALSE	protein_coding
ENSG00000260366	AC026803.1	0.59	0.3	0.00658	0.0145	FALSE	lncRNA
ENSG00000155008	APOOL	3.5	-0.43	0.00658	0.0145	FALSE	protein_coding
ENSG00000269891	ARHGAP19-SLIT1	0.81	0.4	0.00659	0.0145	FALSE	protein_coding
ENSG00000263916	AC100778.2	1.46	0.28	0.00659	0.0145	FALSE	lncRNA
ENSG00000262943	ALOX12P2	0.65	-0.29	0.00659	0.0146	FALSE	transcribed_unprocessed_pseudogene
ENSG00000114520	SNX4	3.5	-0.34	0.00659	0.0146	FALSE	protein_coding
ENSG00000287355	AL451123.2	1.23	0.48	0.00659	0.0146	FALSE	lncRNA
ENSG00000267475	AC008736.1	0.65	0.22	0.0066	0.0146	FALSE	lncRNA
ENSG00000134755	DSC2	5.9	0.9	0.00661	0.0146	TRUE	protein_coding
ENSG00000232774	AL355916.1	0.9	0.38	0.00661	0.0146	FALSE	lncRNA
ENSG00000241506	PSMC1P1	0.34	0.11	0.00661	0.0146	FALSE	processed_pseudogene
ENSG00000250565	ATP6V1E2	2.45	-0.31	0.00661	0.0146	FALSE	protein_coding
ENSG00000265996	MIR3671	1.88	0.42	0.00662	0.0146	FALSE	miRNA
ENSG00000137801	THBS1	8.01	0.88	0.00662	0.0146	TRUE	protein_coding
ENSG00000157045	NTAN1	3.83	-0.33	0.00662	0.0146	FALSE	protein_coding
ENSG00000148225	WDR31	0.72	-0.29	0.00663	0.0146	FALSE	protein_coding
ENSG00000113249	HAVCR1	0.74	-0.28	0.00663	0.0146	FALSE	protein_coding
ENSG00000131844	MCCC2	3.78	-0.47	0.00663	0.0146	FALSE	protein_coding
ENSG00000128739	SNRPN	3.51	-0.42	0.00663	0.0146	FALSE	protein_coding
ENSG00000153291	SLC25A27	0.32	-0.21	0.00664	0.0146	FALSE	protein_coding
ENSG00000137124	ALDH1B1	2.13	-0.51	0.00665	0.0147	FALSE	protein_coding
ENSG00000185753	CXorf38	6.02	0.22	0.00665	0.0147	FALSE	protein_coding
ENSG00000005194	CIAPIN1	3.85	-0.28	0.00666	0.0147	FALSE	protein_coding
ENSG00000103507	BCKDK	5.73	0.33	0.00667	0.0147	FALSE	protein_coding
ENSG00000160058	BSDC1	6.59	0.24	0.00667	0.0147	FALSE	protein_coding
ENSG00000169635	HIC2	3.58	-0.32	0.00667	0.0147	FALSE	protein_coding
ENSG00000204556	AL450124.1	0.13	-0.09	0.00667	0.0147	FALSE	unprocessed_pseudogene
ENSG00000207425	AC138932.2	0.48	-0.24	0.00668	0.0147	FALSE	misc_RNA
ENSG00000103018	CYB5B	4.47	-0.37	0.00669	0.0147	FALSE	protein_coding
